,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size
0,1,1,2.3037622034549714,0.102375,28.809247732162476,32.978941917419434,0.01,1000
1,1,2,2.306737744808197,0.1029,31.79120373725891,65.08425855636597,0.01,1000
2,1,3,2.3030527889728547,0.09765,32.41928458213806,97.67707967758179,0.01,1000
3,1,4,2.3029467880725862,0.09875,27.396969318389893,125.23170685768127,0.01,1000
4,1,5,2.3727968275547027,0.1016,26.374028205871582,151.7775695323944,0.01,1000
5,2,1,2.2226088404655457,0.151225,27.156230449676514,32.83524942398071,0.01,2000
6,2,2,2.025321239233017,0.238625,29.274981260299683,62.29563903808594,0.01,2000
7,2,3,1.9379079401493073,0.2726,26.821775913238525,89.3197934627533,0.01,2000
8,2,4,1.862546581029892,0.3071,24.324647188186646,113.84751915931702,0.01,2000
9,2,5,1.7855684876441955,0.3449,27.63745427131653,141.72932171821594,0.01,2000
